,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,0,0,3,0,1,3,2,1,1,1,1,0,1,2,2,2,3,0,3,1,1,3,1,2,0,1,1,1,3,4,4,2,3,1,0,2,0,1,1,1,0,1,1,2,2
2,0,0,2,1,3,0,0,0,0,1,2,2,2,0,2,1,0,4,0,3,2,1,1,3,2,5,1,3,0,1,1,1,1,1,0,0,1,2,1,1,2,0,1,1,0
3,3,2,0,4,2,2,1,1,1,4,6,1,0,3,2,3,3,1,2,2,1,1,2,2,0,1,2,1,3,1,2,2,2,1,1,1,2,5,3,2,2,0,4,0,1
4,0,1,4,0,1,0,0,0,2,2,4,3,0,2,2,0,0,2,2,4,0,2,1,2,1,0,2,1,0,0,2,1,0,2,2,0,2,3,2,2,1,2,2,0,1
5,1,3,2,1,0,3,1,0,0,1,1,2,2,4,3,0,3,2,3,4,0,1,4,3,1,2,1,1,2,1,1,2,1,3,0,2,1,4,3,4,1,1,2,5,3
6,3,0,2,0,3,0,2,1,1,3,2,1,2,2,2,1,1,1,5,3,0,1,3,2,1,1,2,1,0,2,1,4,1,4,0,0,0,4,1,4,1,0,3,3,1
7,2,0,1,0,1,2,0,2,1,0,0,1,1,3,0,2,4,0,1,1,0,3,0,1,0,1,1,3,1,3,2,2,3,0,1,2,2,3,0,1,2,2,4,1,0
8,1,0,1,0,0,1,2,0,2,1,1,0,4,2,1,2,3,3,2,1,0,0,2,1,0,2,1,1,1,3,1,3,2,0,1,0,1,2,2,1,1,1,1,0,1
9,1,0,1,2,0,1,1,2,0,2,0,0,2,1,0,0,2,1,3,2,0,1,2,1,0,1,2,3,1,2,2,1,3,0,1,1,1,0,0,0,1,1,3,1,1
10,1,1,4,2,1,3,0,1,2,0,1,0,0,3,1,2,4,0,0,3,0,0,6,3,0,0,0,0,3,1,3,0,1,0,3,0,2,2,1,1,2,1,2,2,3
11,1,2,6,4,1,2,0,1,0,1,0,1,1,1,1,1,0,4,2,3,2,0,2,2,0,0,3,4,1,2,2,3,2,1,1,0,2,3,1,2,0,0,2,1,2
12,0,2,1,3,2,1,1,0,0,0,1,0,0,3,0,2,1,1,1,3,0,1,1,1,1,1,2,4,1,0,0,2,1,2,1,2,0,5,2,6,1,0,1,1,2
13,1,2,0,0,2,2,1,4,2,0,1,0,0,1,0,0,1,4,2,1,1,0,1,3,1,3,1,2,1,4,2,5,4,1,0,2,0,2,4,3,3,1,1,0,1
14,2,0,3,2,4,2,3,2,1,3,1,3,1,0,2,2,0,0,2,3,2,2,2,3,1,0,3,5,2,2,1,3,2,2,2,1,0,3,0,4,4,3,1,1,5
15,2,2,2,2,3,2,0,1,0,1,1,0,0,2,0,0,2,2,0,4,0,2,2,1,1,0,0,0,0,3,0,3,1,2,2,1,1,1,2,1,2,1,1,1,1
16,2,1,3,0,0,1,2,2,0,2,1,2,0,2,0,0,4,1,0,0,2,1,2,2,0,1,2,2,1,2,4,0,0,0,0,2,1,1,0,1,2,0,1,0,0
17,3,0,3,0,3,1,4,3,2,4,0,1,1,0,2,4,0,0,2,7,3,2,3,3,1,0,2,4,5,5,2,1,4,1,1,4,1,4,1,0,0,0,4,4,0
18,0,4,1,2,2,1,0,3,1,0,4,1,4,0,2,1,0,0,4,2,3,0,3,3,1,3,0,3,1,1,0,2,2,2,1,2,2,2,5,2,1,2,4,1,2
19,3,0,2,2,3,5,1,2,3,0,2,1,2,2,0,0,2,4,0,1,1,2,2,1,0,1,1,1,2,2,1,2,2,2,0,0,1,1,1,3,1,1,3,2,2
20,1,3,2,4,4,3,1,1,2,3,3,3,1,3,4,0,7,2,1,0,2,2,2,4,1,1,1,4,3,5,1,2,3,2,1,2,0,2,3,2,1,0,3,1,4
21,1,2,1,0,0,0,0,0,0,0,2,0,1,2,0,2,3,3,1,2,0,1,0,3,2,1,0,2,2,3,2,0,0,1,0,0,0,1,1,1,1,2,1,0,1
22,3,1,1,2,1,1,3,0,1,0,0,1,0,2,2,1,2,0,2,2,1,0,1,2,1,1,2,0,2,1,1,1,0,3,0,2,1,0,1,2,1,2,0,0,0
23,1,1,2,1,4,3,0,2,2,6,2,1,1,2,2,2,3,3,2,2,0,1,0,2,0,1,2,2,2,0,4,1,4,2,0,2,2,1,2,3,1,1,0,2,3
24,2,3,2,2,3,2,1,1,1,3,2,1,3,3,1,2,3,3,1,4,3,2,2,0,0,2,0,2,3,2,3,0,1,1,0,1,2,2,2,1,2,2,1,1,2
25,0,2,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,2,1,0,0,0,1,1,1,1,2,1,1,0,2,0,1,0,1,0,2,0,0,1,0,0
26,1,5,1,0,2,1,1,2,1,0,0,1,3,0,0,1,0,3,1,1,1,1,1,2,1,0,2,3,0,0,2,1,0,1,0,0,1,2,0,0,2,1,3,1,1
27,1,1,2,2,1,2,1,1,2,0,3,2,1,3,0,2,2,0,1,1,0,2,2,0,1,2,0,4,1,0,3,3,3,3,1,2,0,2,0,0,0,1,0,2,0
28,1,3,1,1,1,1,3,1,3,0,4,4,2,5,0,2,4,3,1,4,2,0,2,2,1,3,4,0,2,2,4,3,5,1,0,3,1,3,0,5,2,1,1,2,2
29,3,0,3,0,2,0,1,1,1,3,1,1,1,2,0,1,5,1,2,3,2,2,2,3,1,0,1,2,0,0,2,1,1,2,0,2,1,0,3,1,0,0,2,1,0
30,4,1,1,0,1,2,3,3,2,1,2,0,4,2,3,2,5,1,2,5,3,1,0,2,2,0,0,2,0,0,3,4,1,0,1,2,3,2,2,3,0,1,1,2,1
31,4,1,2,2,1,1,2,1,2,3,2,0,2,1,0,4,2,0,1,1,2,1,4,3,1,2,3,4,2,3,0,2,3,0,1,2,1,1,1,2,1,2,1,1,0
32,2,1,2,1,2,4,2,3,1,0,3,2,5,3,3,0,1,2,2,2,0,1,1,0,1,1,3,3,1,4,2,0,2,5,2,0,0,4,3,3,0,3,2,1,2
33,3,1,2,0,1,1,3,2,3,1,2,1,4,2,1,0,4,2,2,3,0,0,4,1,0,0,3,5,1,1,3,2,0,1,1,3,0,3,1,3,1,0,2,1,1
