id,round,draw_date,num1,num2,num3,num4,num5,num6,bonus,sales_amount,winner_count_1st,prize_1st,created_at,updated_at,numbers,year,month,day,day_of_week,quarter,sum,mean,std,min,max,range,odd_count,even_count,odd_ratio,prime_count,consecutive_count,range_1_10,range_11_20,range_21_30,range_31_40,range_41_45,last_digits,ac_value
1,1097,2023-01-07,4,9,10,20,24,45,3,82605723895,0,41302861947,2025-11-07 08:55:47,2025-11-07 08:55:47.934181,"[4, 9, 10, 20, 24, 45]",2023,1,7,5,1,112,18.666666666666668,14.881756168768074,4,45,41,2,4,0.3333333333333333,0,1,3,1,1,0,1,"[4, 9, 0, 0, 4, 5]",15
2,1098,2023-01-14,2,11,13,18,28,32,15,89000240623,15,2966674687,2025-11-07 08:55:47,2025-11-07 08:55:47.935598,"[2, 11, 13, 18, 28, 32]",2023,1,14,5,1,104,17.333333333333332,11.16542281629615,2,32,30,2,4,0.3333333333333333,3,0,1,3,1,1,0,"[2, 1, 3, 8, 8, 2]",15
3,1099,2023-01-21,2,3,10,38,39,41,27,80925028574,3,13487504762,2025-11-07 08:55:47,2025-11-07 08:55:47.935625,"[2, 3, 10, 38, 39, 41]",2023,1,21,5,1,133,22.166666666666668,19.030676989184244,2,41,39,3,3,0.5,3,2,3,0,0,2,1,"[2, 3, 0, 8, 9, 1]",13
4,1100,2023-01-28,3,7,17,33,38,43,31,95140520808,4,11892565101,2025-11-07 08:55:47,2025-11-07 08:55:47.935634,"[3, 7, 17, 33, 38, 43]",2023,1,28,5,1,141,23.5,16.825575770237403,3,43,40,5,1,0.8333333333333334,4,0,2,1,0,2,1,"[3, 7, 7, 3, 8, 3]",12
5,1101,2023-02-04,12,16,17,27,36,38,37,91954364398,14,3284084442,2025-11-07 08:55:47,2025-11-07 08:55:47.935641,"[12, 16, 17, 27, 36, 38]",2023,2,4,5,1,146,24.333333333333332,11.003029885748138,12,38,26,2,4,0.3333333333333333,1,1,0,3,1,2,0,"[2, 6, 7, 7, 6, 8]",14
6,1102,2023-02-11,11,18,20,28,33,40,22,101083787594,12,4211824483,2025-11-07 08:55:47,2025-11-07 08:55:47.935647,"[11, 18, 20, 28, 33, 40]",2023,2,11,5,1,150,25.0,10.658330075579382,11,40,29,2,4,0.3333333333333333,1,0,0,3,1,2,0,"[1, 8, 0, 8, 3, 0]",13
7,1103,2023-02-18,1,6,19,32,34,40,38,99384473343,10,4969223667,2025-11-07 08:55:47,2025-11-07 08:55:47.935657,"[1, 6, 19, 32, 34, 40]",2023,2,18,5,1,132,22.0,15.962455951387932,1,40,39,2,4,0.3333333333333333,1,0,2,1,0,3,0,"[1, 6, 9, 2, 4, 0]",14
8,1104,2023-02-25,3,4,5,12,38,40,43,114153091399,13,4390503515,2025-11-07 08:55:47,2025-11-07 08:55:47.935675,"[3, 4, 5, 12, 38, 40]",2023,2,25,5,1,102,17.0,17.34358671094304,3,40,37,2,4,0.3333333333333333,2,2,3,1,0,2,0,"[3, 4, 5, 2, 8, 0]",12
9,1105,2023-03-04,9,13,23,28,31,33,8,104898192824,10,5244909641,2025-11-07 08:55:47,2025-11-07 08:55:47.935687,"[9, 13, 23, 28, 31, 33]",2023,3,4,5,1,137,22.833333333333332,9.84716541278081,9,33,24,5,1,0.8333333333333334,3,0,1,1,2,2,0,"[9, 3, 3, 8, 1, 3]",13
10,1106,2023-03-11,7,13,30,31,36,40,32,115384010489,10,5769200524,2025-11-07 08:55:47,2025-11-07 08:55:47.935694,"[7, 13, 30, 31, 36, 40]",2023,3,11,5,1,157,26.166666666666668,13.166877635440631,7,40,33,3,3,0.5,3,1,1,1,1,3,0,"[7, 3, 0, 1, 6, 0]",13
