number,frequency,ratio
1,13,0.021666666666666667
2,11,0.018333333333333333
3,17,0.028333333333333332
4,12,0.02
5,17,0.028333333333333332
6,15,0.025
7,12,0.02
8,11,0.018333333333333333
9,10,0.016666666666666666
10,13,0.021666666666666667
11,14,0.023333333333333334
12,12,0.02
13,14,0.023333333333333334
14,18,0.03
15,11,0.018333333333333333
16,10,0.016666666666666666
17,19,0.03166666666666667
18,16,0.02666666666666667
19,14,0.023333333333333334
20,20,0.03333333333333333
21,9,0.015
22,10,0.016666666666666666
23,16,0.02666666666666667
24,16,0.02666666666666667
25,6,0.01
26,10,0.016666666666666666
27,12,0.02
28,19,0.03166666666666667
29,12,0.02
30,16,0.02666666666666667
31,15,0.025
32,17,0.028333333333333332
33,15,0.025
34,14,0.023333333333333334
35,7,0.011666666666666667
36,12,0.02
37,8,0.013333333333333334
38,19,0.03166666666666667
39,13,0.021666666666666667
40,17,0.028333333333333332
41,11,0.018333333333333333
42,9,0.015
43,15,0.025
44,11,0.018333333333333333
45,12,0.02
