round,draw_date,num1,num2,num3,num4,num5,num6,bonus,sales_amount,winner_count_1st,prize_1st
1097,2023-01-07,4,9,10,20,24,45,3,82605723895,0,41302861947
1098,2023-01-14,2,11,13,18,28,32,15,89000240623,15,2966674687
1099,2023-01-21,2,3,10,38,39,41,27,80925028574,3,13487504762
1100,2023-01-28,3,7,17,33,38,43,31,95140520808,4,11892565101
1101,2023-02-04,12,16,17,27,36,38,37,91954364398,14,3284084442
1102,2023-02-11,11,18,20,28,33,40,22,101083787594,12,4211824483
1103,2023-02-18,1,6,19,32,34,40,38,99384473343,10,4969223667
1104,2023-02-25,3,4,5,12,38,40,43,114153091399,13,4390503515
1105,2023-03-04,9,13,23,28,31,33,8,104898192824,10,5244909641
1106,2023-03-11,7,13,30,31,36,40,32,115384010489,10,5769200524
1107,2023-03-18,7,9,19,22,30,37,3,100139727430,11,4551805792
1108,2023-03-25,17,20,24,28,30,36,34,98832005697,1,49416002848
1109,2023-04-01,1,3,10,23,33,45,20,84021582874,9,4667865715
1110,2023-04-08,2,18,21,25,26,43,35,92832701902,6,7736058491
1111,2023-04-15,14,21,28,30,40,42,37,95331654536,12,3972152272
1112,2023-04-22,1,13,29,33,36,39,37,80053783404,10,4002689170
1113,2023-04-29,5,6,10,14,24,38,26,110762119944,5,11076211994
1114,2023-05-06,2,12,20,26,28,38,21,85788677117,15,2859622570
1115,2023-05-13,7,8,16,17,30,37,38,117152930510,8,7322058156
1116,2023-05-20,17,21,25,30,31,38,2,115602738147,5,11560273814
1117,2023-05-27,12,32,38,39,44,45,36,106620963673,9,5923386870
1118,2023-06-03,10,16,23,31,40,41,9,83197288856,2,20799322214
1119,2023-06-10,5,17,19,20,38,43,44,100413882681,7,7172420191
1120,2023-06-17,3,5,14,19,29,34,43,86146641682,5,8614664168
1121,2023-06-24,22,26,27,32,34,42,18,110135518249,7,7866822732
1122,2023-07-01,4,14,22,25,34,40,31,84912249788,10,4245612489
1123,2023-07-08,3,6,8,11,38,40,23,101381327570,10,5069066378
1124,2023-07-15,4,10,31,35,37,42,16,94827245109,10,4741362255
1125,2023-07-22,3,10,17,20,29,43,5,89158866371,13,3429187168
1126,2023-07-29,18,34,36,41,43,45,11,105921517069,12,4413396544
1127,2023-08-05,6,10,14,20,23,45,16,110484532733,9,6138029596
1128,2023-08-12,3,4,11,28,32,38,6,103542499335,9,5752361074
1129,2023-08-19,8,9,14,27,28,33,37,105230183367,2,26307545841
1130,2023-08-26,5,23,34,36,44,45,27,84598936841,3,14099822806
1131,2023-09-02,2,5,26,27,31,44,34,96586447225,11,4390293055
1132,2023-09-09,5,17,20,29,39,44,19,111130232854,8,6945639553
1133,2023-09-16,2,5,13,24,26,41,1,100308762204,0,50154381102
1134,2023-09-23,13,30,32,38,39,40,10,99443703240,15,3314790108
1135,2023-09-30,8,13,18,19,26,45,43,115494125945,4,14436765743
1136,2023-10-07,6,13,25,27,32,34,40,87297697347,13,3357603744
1137,2023-10-14,10,14,23,24,29,31,38,86507958791,6,7208996565
1138,2023-10-21,2,3,11,16,18,21,31,93524632330,12,3896859680
1139,2023-10-28,8,13,18,24,38,39,25,85720195111,7,6122871079
1140,2023-11-04,8,19,23,31,32,33,29,109441998185,5,10944199818
1141,2023-11-11,5,11,14,15,32,45,33,86875394279,13,3341361318
1142,2023-11-18,15,32,34,35,42,43,41,104986652081,5,10498665208
1143,2023-11-25,7,17,27,28,33,44,39,89770030777,7,6412145055
1144,2023-12-02,3,4,15,37,39,41,8,95846315127,13,3686396735
1145,2023-12-09,4,11,12,18,19,43,41,91788493168,7,6556320940
1146,2023-12-16,1,7,17,22,24,29,13,85758432454,1,42879216227
1147,2023-12-23,1,8,15,17,20,30,3,87447923186,11,3974905599
1148,2023-12-30,1,3,14,15,30,32,13,86103808405,3,14350634734
1149,2024-01-06,2,18,23,26,28,37,15,86362928925,0,43181464462
1150,2024-01-13,8,10,16,17,23,29,25,89528429356,1,44764214678
1151,2024-01-20,5,15,18,23,39,40,6,99212253406,1,49606126703
1152,2024-01-27,6,18,19,24,39,44,2,101633586632,13,3908984101
1153,2024-02-03,7,12,14,16,28,41,21,93847515234,1,46923757617
1154,2024-02-10,4,11,23,27,34,38,5,80080430731,4,10010053841
1155,2024-02-17,2,4,15,20,22,24,17,93067586879,9,5170421493
1156,2024-02-24,5,17,28,34,36,44,9,102922115867,9,5717895325
1157,2024-03-02,1,7,22,31,36,42,21,103714427031,12,4321434459
1158,2024-03-09,7,14,33,38,41,43,40,94175341649,15,3139178054
1159,2024-03-16,3,11,24,29,37,43,34,92692083343,1,46346041671
1160,2024-03-23,1,6,9,19,30,44,32,118524383512,1,59262191756
1161,2024-03-30,7,8,14,32,35,42,25,101603565234,7,7257397516
1162,2024-04-06,8,13,18,30,32,39,37,114716352585,12,4779848024
1163,2024-04-13,9,27,28,29,31,32,30,101206477443,0,50603238721
1164,2024-04-20,6,12,32,34,38,40,11,94749531391,2,23687382847
1165,2024-04-27,10,11,30,35,37,44,6,114901236818,1,57450618409
1166,2024-05-04,2,12,24,33,34,40,36,90239364947,7,6445668924
1167,2024-05-11,4,9,18,19,42,43,16,94223811752,2,23555952938
1168,2024-05-18,8,9,13,26,41,43,37,85301406007,6,7108450500
1169,2024-05-25,13,14,21,24,41,42,6,115219760949,5,11521976094
1170,2024-06-01,3,14,16,22,27,36,40,82330672998,12,3430444708
1171,2024-06-08,6,7,26,28,38,43,39,118105809695,4,14763226211
1172,2024-06-15,5,6,7,20,32,43,13,115926173526,7,8280440966
1173,2024-06-22,13,17,20,30,32,33,34,102762966756,8,6422685422
1174,2024-06-29,5,18,23,24,37,42,11,82466633492,5,8246663349
1175,2024-07-06,1,11,27,28,31,33,36,92495924354,5,9249592435
1176,2024-07-13,1,17,19,21,22,29,3,118157302792,15,3938576759
1177,2024-07-20,5,6,13,19,33,40,17,106630358011,3,17771726335
1178,2024-07-27,1,6,16,30,31,43,32,118628655419,5,11862865541
1179,2024-08-03,12,25,28,29,36,40,26,89508215670,7,6393443976
1180,2024-08-10,1,5,14,38,44,45,29,114458653641,15,3815288454
1181,2024-08-17,16,17,21,24,28,31,22,95764659581,10,4788232979
1182,2024-08-24,3,6,11,19,23,27,28,81618159567,5,8161815956
1183,2024-08-31,11,20,21,24,30,45,12,83797597822,1,41898798911
1184,2024-09-07,3,9,10,17,35,43,19,119751052632,15,3991701754
1185,2024-09-14,6,15,20,22,34,41,24,83386476541,10,4169323827
1186,2024-09-21,15,18,33,35,36,38,43,117580972374,9,6532276243
1187,2024-09-28,9,17,20,23,33,36,25,89594135737,11,4072460715
1188,2024-10-05,5,12,22,23,39,40,25,80228470637,13,3085710409
1189,2024-10-12,3,4,11,20,31,39,12,97854062766,8,6115878922
1190,2024-10-19,12,14,20,28,40,45,35,99378710629,6,8281559219
1191,2024-10-26,18,20,21,29,34,39,40,91744385789,5,9174438578
1192,2024-11-02,6,10,15,17,23,44,39,107067768764,0,53533884382
1193,2024-11-09,14,19,28,40,41,45,44,115497905071,4,14437238133
1194,2024-11-16,1,3,16,24,26,31,20,96280865753,12,4011702739
1195,2024-11-23,4,12,14,20,27,35,5,112271176476,6,9355931373
1196,2024-11-30,2,5,15,20,25,30,29,97336954061,13,3743729002
